country,winningPerc,total,wins,neutrals
Kuwait,50.44,564,184,201
Jordan,46.81,392,131,105
Papua New Guinea,40.09,116,13,67
Solomon Islands,49.71,170,41,87
Liberia,37.65,247,79,28
Somalia,36.92,107,6,67
Laos,33.13,163,15,78
Saudi Arabia,54.9,623,216,252
Chad,38.7,115,27,35
Bermuda,42.76,152,55,20
Niger,37.07,205,60,32
Bahrain,46.93,489,134,191
Palestine,50.81,186,47,95
Yemen,41.15,226,37,112
Wallis Islands and Futuna,43.75,24,0,21
Mauritania,38.92,212,50,65
Western Australia,43.1,29,0,25
Eswatini,32.61,230,58,34
Botswana,42.65,279,99,40
Qatar,49.81,533,185,161
Lesotho,32.86,248,59,45
Bahamas,33.33,36,8,8
Brunei,32.19,73,4,39
Cook Islands,46.51,43,5,30
Yemen DPR,43.75,24,3,15
United Arab Emirates,51.06,521,175,182
Faroe Islands,22.54,224,38,25
Nepal,37.36,178,26,81
Antigua and Barbuda,44.39,196,62,50
Bangladesh,44.23,208,46,92
Seychelles,30.09,113,17,34
Oman,50.33,450,156,141
Equatorial Guinea,33.08,130,32,22
Mozambique,48.36,304,122,50
Guam,44.95,99,21,47
Angola,55.4,352,155,80
São Tomé and Príncipe,29.35,46,10,7
Rwanda,42.21,244,66,74
Northern Cyprus,52.94,34,9,18
Armenia,32.86,210,55,28
Georgia,40.25,241,85,24
Azerbaijan,32.65,245,59,42
Kazakhstan,35.35,198,53,34
Tonga,42.86,56,6,36
Tuvalu,44.12,34,0,30
Samoa,41.18,51,11,20
Greenland,43.84,73,2,60
Liechtenstein,14.14,198,23,10
Bhutan,31.48,81,7,37
American Samoa,39.58,48,1,36
Belize,40.51,79,18,28
Cayman Islands,31.32,91,17,23
Anguilla,21.31,61,4,18
British Virgin Islands,34.62,91,18,27
Sint Maarten,35.29,34,5,14
Namibia,37.77,229,67,39
Ynys Môn,52.46,61,8,48
Shetland,47.06,51,4,40
Åland Islands,51.09,46,7,33
Saint Martin,44.32,44,10,19
San Marino,2.76,163,3,3
Montserrat,38.75,40,8,15
Slovenia,49.8,247,110,26
Jersey,56.71,82,26,41
Guernsey,45.45,77,13,44
Isle of Wight,54.55,44,8,32
Turkmenistan,43.12,138,38,43
Tajikistan,47.57,144,49,39
Uzbekistan,52.36,275,109,70
Eritrea,33.33,72,9,30
Czech Republic,67.17,297,175,49
Gibraltar,38.78,98,13,50
Isle of Man,46.94,49,4,38
North Macedonia,43.88,237,93,22
Bosnia and Herzegovina,51.36,220,98,30
Maldives,37.42,159,33,53
Andorra,14.33,164,11,25
Frøya,43.33,30,0,26
U.S. Virgin Islands,27.78,54,10,10
Northern Mariana Islands,27.08,24,0,13
Turks and Caicos Islands,27.78,27,3,9
Gotland,51.67,30,5,21
Saare County,51.43,35,1,34
Orkney,45.24,21,0,19
Falkland Islands,46.55,29,0,27
East Timor,25.49,51,1,24
Western Isles,42.86,28,0,24
Kosovo,55.13,39,15,13
Sápmi,40.38,26,4,13
Comoros,30.83,60,8,21
Menorca,52.38,21,1,20
Iraqi Kurdistan,53.7,27,5,19
Padania,56.98,43,7,35
Bonaire,42.86,21,0,18
South Sudan,30.23,43,4,18
Abkhazia,57.14,28,7,18
Székely Land,39.13,23,0,18
